fid,Nom,azimuth,type,longueur,x1,y1,x2,y2,magnitude
"1",,90.7044208114125,,798.111162493164,691113.887682238,6497175.2380517,691911.938526721,6497165.42595115,4.9
"2",,6.51980175166324,,576.098348504869,692023.142332919,6497727.98638251,691957.728329273,6497155.61385061,4.5
"3",,97.3264066601585,,461.667180114336,692530.100861176,6497786.85898579,692987.998886699,6497727.98638251,4.3
"4",,154.925580658182,,393.599924748901,692814.651777037,6498091.03410274,692981.457486335,6497734.52778287,4.1
"5",,133.005430698761,,465.141404928789,691960.999029455,6497113.09474824,692301.151848415,6496795.83683055,4.3
"6",,42.2880165325795,,879.824428387053,692382.919352973,6496786.02473001,692974.91608597,6497436.89406628,5
"7",,50.8067269054946,,548.620349921414,693203.865098731,6497574.26347394,693629.056122431,6497920.95769326,4.5
"8",,173.785970509015,,1148.22074684042,694041.164345401,6497659.30167868,694165.450952329,6496517.82731506,5.3
"9",,178.258435149298,,968.574661922253,694538.310773112,6497165.42595115,694567.747074753,6496197.29869719,5.1
"10",,179.650639820498,,536.404801452353,694734.55278405,6497234.11065498,694737.823484232,6496697.71582508,4.5
"11",,26.1950651237234,,1585.60158062118,691247.986389713,6495592.21916346,691947.916228726,6497014.97374277,5.7
"12",,13.072323497682,,1084.54169168938,691866.148724169,6495238.98354378,692111.451237842,6496295.41970266,5.3
"13",,58.3805710721083,,1029.35643247344,692010.05953219,6496177.6744961,692886.607181048,6496717.34002618,5.2
"14",,147.94650951563,,412.912134939295,692847.35877886,6496753.31772818,693066.495691075,6496403.35280868,4.2
"15",,49.1729844760451,,540.299475343825,692709.989371203,6496102.4483919,693118.826893991,6496455.68401159,4.5
"16",,86.0218065771193,,2734.35229985345,693105.744093262,6496419.70630959,695833.508045304,6496609.40692016,6.3
"17",,55.9764981420928,,1870.53170639894,693622.514722066,6495137.59183813,695172.826608479,6496184.21589646,5.9
"18",,95.4875570600828,,752.438776378472,692866.982979954,6495211.18259223,693615.973321702,6495139.22718822,4.8
"19",,96.881723630763,,191.077204701446,692588.973464458,6495158.85138931,692778.674075031,6495135.95648803,3.3
"20",,87.8789036033427,,176.738905374613,692356.753751514,6495099.97878603,692533.371561359,6495106.52018639,3.2
"21",,77.6045931662603,,304.737298544237,693223.489299825,6494576.66675686,693521.123016415,6494642.08076051,3.8
"22",,52.5614284276327,,263.631419784294,693638.868222978,6494707.49476415,693848.193034645,6494867.75907308,3.7
"23",,31.6754687380631,,180.630321462879,693946.314040114,6494978.96287928,694041.164345401,6495132.68578785,3.2
"24",,70.9422954897621,,190.319904910334,692170.323841123,6494684.59986287,692350.212351149,6494746.74316634,3.3
"25",,23.4480625779633,,295.903482915546,692412.355654613,6495024.75268183,692294.61044805,6494753.2845667,3.8
"26",,71.5650511769211,,134.457207555118,692288.069047686,6494871.02977327,692415.626354796,6494913.54887564,2.9
"27",,72.2161115571903,,182.046126178258,691872.690124533,6494360.80054483,692046.037234195,6494416.40244793,3.3
"28",,41.5526131480027,,192.304933017127,692036.225133648,6494386.96614628,692163.782440758,6494530.87695431,3.3
"29",,8.32565033039833,,135.527018025829,692186.677342034,6494674.78776233,692167.05314094,6494540.68905485,2.9
"30",,176.009086901557,,140.98197491151,693190.782298002,6496113.89584254,693200.594398549,6495973.2557347,3
"31",,50.0796078599576,,208.966772631811,693037.059389433,6495839.15702723,693197.323698366,6495973.2557347,3.4
"32",,149.743562836428,,136.314057266719,693194.052998184,6495963.44363416,693262.737702013,6495845.69842759,2.9
